2014-12-26 20:41:19 INFO  ResourceX:58 - ============================[ VOBaseMasterPage.vb -> Global.resx ]===============================
2014-12-26 20:41:20 INFO  ResourceX:102 -  (37) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuYourHelpTickets] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (38) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuCalendar] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (39) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuImportExport] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (40) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuSearch] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (41) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuMigration] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (42) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuDailyTotals] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (43) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuJobTypes] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (44) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuBillingLog] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (45) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuJobDetails] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (46) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuBrowseAndSearch] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (47) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuMileage] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (48) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuBatchMigration] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:106 -  (49) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:107 -  (49) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (50) Resource Added: FileName = [Global.es.resx] value = [default_labelAddMileage] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (51) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuTasks] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (52) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuQuickAdd] defaultLanguageValue = []
